model,attack_type,condition,n
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Accidental Context Leakage,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Accidental Context Leakage,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Attention Shifting,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Attention Shifting,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Code Injection,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Code Injection,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Dictionary Attack,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Dictionary Attack,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Direct Exploitation,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Direct Exploitation,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Fill-in-the-Blank Attack,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Fill-in-the-Blank Attack,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Hypothetical Manipulation,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Hypothetical Manipulation,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Indirect Injection,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Indirect Injection,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Jailbreaks,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Jailbreaks,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Logic Trap Attacks,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Logic Trap Attacks,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Multi-Language Attack,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Multi-Language Attack,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Multi-Prompt Attack,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Multi-Prompt Attack,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Obfuscation (Token Smuggling),arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Obfuscation (Token Smuggling),no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Payload Splitting,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Payload Splitting,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Prompt Injection,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Prompt Injection,no_defense,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Role Playing / Pretending,arcshield,200
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,Role Playing / Pretending,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Accidental Context Leakage,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Accidental Context Leakage,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Attention Shifting,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Attention Shifting,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Code Injection,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Code Injection,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Dictionary Attack,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Dictionary Attack,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Direct Exploitation,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Direct Exploitation,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Fill-in-the-Blank Attack,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Fill-in-the-Blank Attack,no_defense,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Hypothetical Manipulation,arcshield,200
cloudflare_cf_google_gemma_4_26b_a4b_it,Hypothetical Manipulation,no_defense,200
